entso_unit_id,unit_capacity,plant_primary_fuel,country_long,unit_name_x,plant_name,plant_capacity_x,plant_first_name_x,gppd_plant_id,plant_name_x,latitude,longitude,platts_plant_id_x,country,plant_capacity_y,commissioning_year,owner_x,plant_first_name_y,platts_plant_id_y,platts_unit_id,plant_name_y,unit_name_y,owner_y,year_commissioned,city,state,region,subregion
11WD7HERN2S--4-X,460.0,Coal,GERMANY,HERNE_4,Herne,740.0,Herne,WRI1005737,ALTBACH POWER STATION,48.7176,9.3749,1023740,DEU,769.0,1992.0,Energie Baden-Württemberg,ALTBACH,1023740,1101684,ALTBACH,ALTBACH HKW 1,ENBW ENERGIE BADEN-WURTTEMBERG,1985.0,Altbach,BW,EUROPE,EU
19W000000000017D,370.0,Coal,POLAND,Bełchatów B01,Bełchatów,5472.0,Bełchatów,WRI1019035,OPOLE,50.7514,17.8845,1015578,POL,1492.0,,Polska Grupa Energetyczna SA,OPOLE,1015578,1137723,OPOLE,OPOLE 1,PGE ELEKTROWNIA OPOLE SA,1993.0,Brzezie k Opole,Opolskie,EUROPE,EU
19W000000000017D,370.0,Coal,POLAND,Bełchatów B01,Bełchatów,5472.0,Bełchatów,WRI1019035,OPOLE,50.7514,17.8845,1015578,POL,1492.0,,Polska Grupa Energetyczna SA,OPOLE,1015578,1137724,OPOLE,OPOLE 2,PGE ELEKTROWNIA OPOLE SA,1994.0,Brzezie k Opole,Opolskie,EUROPE,EU
19W000000000017D,370.0,Coal,POLAND,Bełchatów B01,Bełchatów,5472.0,Bełchatów,WRI1019035,OPOLE,50.7514,17.8845,1015578,POL,1492.0,,Polska Grupa Energetyczna SA,OPOLE,1015578,1137725,OPOLE,OPOLE 3,PGE ELEKTROWNIA OPOLE SA,1996.0,Brzezie k Opole,Opolskie,EUROPE,EU
19W0000000000660,225.0,Coal,POLAND,Jaworzno 3 B2,Jaworzno 3,1345.0,Jaworzno,WRI1019033,RYBNIK,50.1331,18.5232,1015579,POL,1775.0,,Polska Grupa Energetyczna SA,RYBNIK,1015579,1144412,RYBNIK,RYBNIK 2,PGE ENERGIA CIEPLA SA,1973.0,Rybnik Wielopole,Slaskie,EUROPE,EU
19W0000000000660,225.0,Coal,POLAND,Jaworzno 3 B2,Jaworzno 3,1345.0,Jaworzno,WRI1019033,RYBNIK,50.1331,18.5232,1015579,POL,1775.0,,Polska Grupa Energetyczna SA,RYBNIK,1015579,1144413,RYBNIK,RYBNIK 3,PGE ENERGIA CIEPLA SA,1973.0,Rybnik Wielopole,Slaskie,EUROPE,EU
19W0000000000660,225.0,Coal,POLAND,Jaworzno 3 B2,Jaworzno 3,1345.0,Jaworzno,WRI1019033,RYBNIK,50.1331,18.5232,1015579,POL,1775.0,,Polska Grupa Energetyczna SA,RYBNIK,1015579,1144414,RYBNIK,RYBNIK 4,PGE ENERGIA CIEPLA SA,1974.0,Rybnik Wielopole,Slaskie,EUROPE,EU
19W000000000067Z,225.0,Coal,POLAND,Jaworzno 3 B4,Jaworzno 3,1345.0,Jaworzno,WRI1019033,RYBNIK,50.1331,18.5232,1015579,POL,1775.0,,Polska Grupa Energetyczna SA,RYBNIK,1015579,1144412,RYBNIK,RYBNIK 2,PGE ENERGIA CIEPLA SA,1973.0,Rybnik Wielopole,Slaskie,EUROPE,EU
19W000000000067Z,225.0,Coal,POLAND,Jaworzno 3 B4,Jaworzno 3,1345.0,Jaworzno,WRI1019033,RYBNIK,50.1331,18.5232,1015579,POL,1775.0,,Polska Grupa Energetyczna SA,RYBNIK,1015579,1144413,RYBNIK,RYBNIK 3,PGE ENERGIA CIEPLA SA,1973.0,Rybnik Wielopole,Slaskie,EUROPE,EU
19W000000000067Z,225.0,Coal,POLAND,Jaworzno 3 B4,Jaworzno 3,1345.0,Jaworzno,WRI1019033,RYBNIK,50.1331,18.5232,1015579,POL,1775.0,,Polska Grupa Energetyczna SA,RYBNIK,1015579,1144414,RYBNIK,RYBNIK 4,PGE ENERGIA CIEPLA SA,1974.0,Rybnik Wielopole,Slaskie,EUROPE,EU
19W000000000124C,225.0,Coal,POLAND,Łaziska 3 B11,Łaziska 3,905.0,Łaziska,WRI1019033,RYBNIK,50.1331,18.5232,1015579,POL,1775.0,,Polska Grupa Energetyczna SA,RYBNIK,1015579,1144412,RYBNIK,RYBNIK 2,PGE ENERGIA CIEPLA SA,1973.0,Rybnik Wielopole,Slaskie,EUROPE,EU
19W000000000124C,225.0,Coal,POLAND,Łaziska 3 B11,Łaziska 3,905.0,Łaziska,WRI1019033,RYBNIK,50.1331,18.5232,1015579,POL,1775.0,,Polska Grupa Energetyczna SA,RYBNIK,1015579,1144413,RYBNIK,RYBNIK 3,PGE ENERGIA CIEPLA SA,1973.0,Rybnik Wielopole,Slaskie,EUROPE,EU
19W000000000124C,225.0,Coal,POLAND,Łaziska 3 B11,Łaziska 3,905.0,Łaziska,WRI1019033,RYBNIK,50.1331,18.5232,1015579,POL,1775.0,,Polska Grupa Energetyczna SA,RYBNIK,1015579,1144414,RYBNIK,RYBNIK 4,PGE ENERGIA CIEPLA SA,1974.0,Rybnik Wielopole,Slaskie,EUROPE,EU
19W000000000178Q,225.0,Coal,POLAND,Rybnik B6,Rybnik,1800.0,Rybnik,WRI1019033,RYBNIK,50.1331,18.5232,1015579,POL,1775.0,,Polska Grupa Energetyczna SA,RYBNIK,1015579,1144412,RYBNIK,RYBNIK 2,PGE ENERGIA CIEPLA SA,1973.0,Rybnik Wielopole,Slaskie,EUROPE,EU
19W000000000178Q,225.0,Coal,POLAND,Rybnik B6,Rybnik,1800.0,Rybnik,WRI1019033,RYBNIK,50.1331,18.5232,1015579,POL,1775.0,,Polska Grupa Energetyczna SA,RYBNIK,1015579,1144413,RYBNIK,RYBNIK 3,PGE ENERGIA CIEPLA SA,1973.0,Rybnik Wielopole,Slaskie,EUROPE,EU
